,card name,expansion,rarity,converted mana cost,colourless mana,coloured mana,main type,sub type,power,toughness,abilities-1,abilities-2,flavour text-1,flavour text-2,card no,artist,avg price ($),market price ($),foil avg ($),foil price ($),img url
838,Winds of Rebuke,Amonkhet,"
Common",2,1,Blue,Instant,, ,,Return target nonland permanent to its owner's hand. Each player mills two cards., ,"""I have foreseen that you will not pass my trial.""",,76,Mathias Kollros,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426778&type=card
839,Winged Shepherd,Amonkhet,"
Common",6,5,White,Creature , Angel,3,3,"Flying, vigilance", ,"""When the Hour of Promise arrives, the God-Pharaoh will tear down the Hekma, for its protection will be needed no longer.""",,39,Chris Rahn,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426741&type=card
843,Zenith Seeker,Amonkhet,"
Uncommon",4,3,Blue,Creature , Bird Wizard,2,2,Flying, ,Only from the sky can one fully understand the horrors of the wastes and the wonder of the Hekma's protection.,,77,Jason Kang,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426779&type=card
845,Argivian Archaeologist,Antiquities,"
Rare",3,1,"White, White",Creature , Human Artificer,1,1,", : Return target artifact card from your graveyard to your hand.", ,"Fascinated by the lore of ancient struggles, the Archaeologist searches incessantly for remnants of an earlier, more powerful era.",,77,Amy Weber,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1064&type=card
846,Argivian Blacksmith,Antiquities,"
Common",3,1,"White, White",Creature , Human Artificer,2,2,: Prevent the next 2 damage that would be dealt to target artifact creature this turn., ,"Through years of study and training, the Blacksmiths of Argive became adept at reassembling the mangled remains of the strange, mechanical creatures abounding in their native land.",,77,Kerstin Kaman,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1065&type=card
848,Argothian Treefolk,Antiquities,"
Common",5,3,"Green, Green",Creature , Treefolk,3,5,Prevent all damage that would be dealt to Argothian Treefolk by artifact sources., ,Haunting cries we hear in our dreams,,77,Amy Weber,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1051&type=card
850,Artifact Blast,Antiquities,"
Common",1,0,Red,Instant,, ,,Counter target artifact spell., ,"The first line of defense against Urza and Mishra, the Artifact Blast achieved widespread fame until an unlucky mage discovered it was useless on the devices the brothers had already created.",,77,Mark Poole,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1057&type=card
851,Artifact Possession,Antiquities,"
Common",3,2,Black,Enchantment , Aura, ,,Enchant artifact, ,Any black mage could coax a Thraxodemon to inhabit a magical device.,,77,Christopher Rush,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1036&type=card
852,Artifact Ward,Antiquities,"
Common",1,0,White,Enchantment , Aura, ,,Enchant creature, ,,,77,Douglas Shuler,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1066&type=card
860,Candelabra of Tawnos,Antiquities,"
Rare",1,1,none,Artifact,, ,,", : Untap X target lands.", ,"Tawnos learned quickly from Urza that utter simplicity often led to wondrous, yet subtle utility.",,77,Douglas Shuler,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=999&type=card
862,Citanul Druid,Antiquities,"
Uncommon",2,1,Green,Creature , Human Druid,1,1,"Whenever an opponent casts an artifact spell, put a +1/+1 counter on Citanul Druid.", ,"Driven mad by the fall of Argoth, the Citanul Druids found peace only in battle.",,77,Jeff A. Menges,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1052&type=card
869,Damping Field,Antiquities,"
Uncommon",3,2,White,Enchantment,, ,,Players can't untap more than one artifact during their untap steps., ,"Eventually, mages learned to harness the power of natural damping fields and use it for their own ends.",,77,Justin Hampton,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1068&type=card
871,Drafna's Restoration,Antiquities,"
Common",1,0,Blue,Sorcery,, ,,Put any number of target artifact cards from target player's graveyard on top of their library in any order., ,"Drafna, founder of the College of Lat-Nam, could create a working model from even the smallest remnants of a newly unearthed artifact.",,77,Amy Weber,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1037&type=card
873,Dwarven Weaponsmith,Antiquities,"
Uncommon",2,1,Red,Creature , Dwarf Artificer,1,1,", Sacrifice an artifact: Put a +1/+1 counter on target creature. Activate only during your upkeep.", ,,,77,Mark Poole,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1060&type=card
876,Gaea's Avenger,Antiquities,"
Rare",3,1,"Green, Green",Creature , Treefolk,1+* , 1+*,Gaea's Avenger's power and toughness are each equal to 1 plus the number of artifacts your opponents control., ,"After the destruction of Argoth, Gaea was willing to instill a portion of her own powers into some of her more vengeful followers.",,77,Pete Venters,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1054&type=card
877,Gate to Phyrexia,Antiquities,"
Uncommon",2,0,"Black, Black",Enchantment,, ,,Sacrifice a creature: Destroy target artifact. Activate only during your upkeep and only once each turn., ,"""The warm rain of grease on my face immediately made it clear I had entered Phyrexia.""Jarsyl, Diary",,77,Sandra Everingham,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1039&type=card
879,Golgothian Sylex,Antiquities,"
Rare",4,4,none,Artifact,, ,,", : Each nontoken permanent with a name originally printed in the Antiquities expansion is sacrificed by its controller.", ,"From their earliest educations, the brothers had known that no human contrivance could stand against the true masters of Dominia.",,77,Kerstin Kaman,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1007&type=card
881,Haunting Wind,Antiquities,"
Uncommon",4,3,Black,Enchantment,, ,,"Whenever an artifact becomes tapped or a player activates an artifact's ability without in its activation cost, Haunting Wind deals 1 damage to that artifact's controller.", ,These devices lured so many spirits that sometimes entire battlefields would become haunted at once.,,77,Jeff A. Menges,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1040&type=card
888,Martyrs of Korlis,Antiquities,"
Uncommon",5,3,"White, White",Creature , Human,1,6,"As long as Martyrs of Korlis is untapped, all damage that would be dealt to you by artifacts is dealt to Martyrs of Korlis instead.", ,,,77,Margaret Organ-Kean,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1069&type=card
889,Mightstone,Antiquities,"
Uncommon",4,4,none,Artifact,, ,,Attacking creatures get +1/+0., ,"While exploring the sacred cave of Koilos with his brother Mishra and their master Tocasia, Urza fell behind in the Hall of Tagsin, where he discovered the remarkable Mightstone.",,77,Pete Venters,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1011&type=card
894,Mishra's Workshop,Antiquities,"
Rare",0,0,none,Land,, ,,: Add . Spend this mana only to cast artifact spells., ,"Though he eventually came to despise Tocasia, Mishra listened well to her lessons on clarity of purpose. Unlike his brother, he focused his mind on a single goal.",,77,Kaja Foglio,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1075&type=card
897,Orcish Mechanics,Antiquities,"
Common",3,2,Red,Creature , Orc,1,1,", Sacrifice an artifact: Orcish Mechanics deals 2 damage to any target.", ,,,77,Pete Venters,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1062&type=card
899,Phyrexian Gremlins,Antiquities,"
Common",3,2,Black,Creature , Phyrexian Gremlin,1,1,You may choose not to untap Phyrexian Gremlins during your untap step., ,,,77,Amy Weber,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1042&type=card
900,Power Artifact,Antiquities,"
Uncommon",2,0,"Blue, Blue",Enchantment , Aura, ,,Enchant artifact, ,,,77,Douglas Shuler,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1043&type=card
901,Powerleech,Antiquities,"
Uncommon",2,0,"Green, Green",Enchantment,, ,,"Whenever an artifact an opponent controls becomes tapped or an opponent activates an artifact's ability without in its activation cost, you gain 1 life.", ,The Forest of Argoth has developed a resistance to mechanical intrusion.,,77,Christopher Rush,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1055&type=card
902,Priest of Yawgmoth,Antiquities,"
Common",2,1,Black,Creature , Phyrexian Human Cleric,1,2,", Sacrifice an artifact: Add an amount of equal to the sacrificed artifact's mana value.", ,,,77,Mark Tedin,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1044&type=card
905,Reconstruction,Antiquities,"
Common",1,0,Blue,Sorcery,, ,,Return target artifact card from your graveyard to your hand., ,Tedious research made the Sages of the College of Lat-Nam adept in repairing broken artifacts.,,77,Anson Maddocks,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1045&type=card
906,Reverse Polarity,Antiquities,"
Common",2,0,"White, White",Instant,, ,,"You gain X life, where X is twice the damage dealt to you so far this turn by artifacts.", ,,,77,Justin Hampton,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1070&type=card
907,Rocket Launcher,Antiquities,"
Uncommon",4,4,none,Artifact,, ,,: Rocket Launcher deals 1 damage to any target. Destroy Rocket Launcher at the beginning of the next end step. Activate only if you've controlled Rocket Launcher continuously since the beginning of your most recent turn., ,"What these devices lacked in subtlety, they made up in strength.",,77,Pete Venters,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1019&type=card
911,Staff of Zegon,Antiquities,"
Common",4,4,none,Artifact,, ,,", : Target creature gets -2/-0 until end of turn.", ,"Though Mishra was impressed by the staves Ashnod had created for Zegon's defense, he understood they only hinted at her full potential.",,77,Mark Poole,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1021&type=card
913,Su-Chi,Antiquities,"
Uncommon",4,4,none,Artifact Creature , Construct,4,4,"When Su-Chi dies, add .", ,"Flawed copies of relics from the Thran Empire, the Su-Chi were inherently unstable but provided useful knowledge for Tocasia's students.",,77,Christopher Rush,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1022&type=card
914,Tablet of Epityr,Antiquities,"
Common",1,1,none,Artifact,, ,,"Whenever an artifact you control is put into a graveyard from the battlefield, you may pay . If you do, you gain 1 life.", ,"Originally considered the work of Urza, this tablet was created by forgers seeking to imitate Urza's masterpieces.",,77,Christopher Rush,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1023&type=card
915,Tawnos's Coffin,Antiquities,"
Rare",4,4,none,Artifact,, ,,You may choose not to untap Tawnos's Coffin during your untap step., ,,,77,Christopher Rush,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1024&type=card
921,Transmute Artifact,Antiquities,"
Uncommon",2,0,"Blue, Blue",Sorcery,, ,,"Sacrifice an artifact. If you do, search your library for an artifact card. If that card's mana value is less than or equal to the sacrificed artifact's mana value, put it onto the battlefield. If it's greater, you may pay , where X is the difference. If you do, put it onto the battlefield. If you don't, put it into its owner's graveyard. Then shuffle.", ,,,77,Anson Maddocks,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1047&type=card
924,Urza's Chalice,Antiquities,"
Common",1,1,none,Artifact,, ,,"Whenever a player casts an artifact spell, you may pay . If you do, you gain 1 life.", ,"When sorely wounded or tired, Urza would often retreat to the workshops of his apprentices. They were greatly amazed at how much better he looked each time he took a sip of water.",,77,Jeff A. Menges,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1031&type=card
926,Urza's Miter,Antiquities,"
Rare",3,3,none,Artifact,, ,,"Whenever an artifact you control is put into a graveyard from the battlefield, if it wasn't sacrificed, you may pay . If you do, draw a card.", ,,,77,Randy Asplund-Faith,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1032&type=card
930,Weakstone,Antiquities,"
Uncommon",4,4,none,Artifact,, ,,Attacking creatures get -1/-0., ,"During the brothers' childhood, Tocasia took them to explore the sacred cave of Koilos. There, in the Hall of Tagsin, Mishra discovered the mysterious weakstone.",,77,Justin Hampton,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1034&type=card
934,Aether Mutation,Apocalypse,"
Uncommon",5,3,"Green, Blue",Sorcery,, ,,"Return target creature to its owner's hand. Create X 1/1 green Saproling creature tokens, where X is that creature's mana value.", ,,,91,Ron Spencer,0.3,0.25,24.87,2.66,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=28669&type=card
935,Ana Disciple,Apocalypse,"
Common",1,0,Green,Creature , Human Wizard,1,1,", : Target creature gains flying until end of turn.", ,"""The blessings of Gaea alone are no longer enough.""",,73,Darrell Riche,0.2,0.1,0.34,0.31,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=25856&type=card
936,Ana Sanctuary,Apocalypse,"
Uncommon",3,2,Green,Enchantment,, ,,"At the beginning of your upkeep, if you control a blue or black permanent, target creature gets +1/+1 until end of turn. If you control a blue permanent and a black permanent, that creature gets +5/+5 until end of turn instead.", ,,,74,Rob Alexander,0.28,0.19,21.49,24.65,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26830&type=card
937,Anavolver,Apocalypse,"
Rare",4,3,Green,Creature , Volver,3,3,Kicker and/or (You may pay an additional and/or as you cast this spell.), ,,,75,Matt Cavotta,0.45,0.28,17.05,1.53,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=25951&type=card
938,Angelfire Crusader,Apocalypse,"
Common",4,3,White,Creature , Human Soldier Knight,2,3,: Angelfire Crusader gets +1/+0 until end of turn., ,Nothing burns hotter than the fires of holy rage.,,1,"Edward P. Beard, Jr.",0.19,0.08,0.42,0.23,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=21253&type=card
942,Bloodfire Dwarf,Apocalypse,"
Common",1,0,Red,Creature , Dwarf,1,1,", Sacrifice Bloodfire Dwarf: It deals 1 damage to each creature without flying.", ,"For them, the only honorable death is one that leaves a crater.",,56,Ron Spencer,0.27,0.25,20,5.78,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26806&type=card
943,Bloodfire Infusion,Apocalypse,"
Common",3,2,Red,Enchantment , Aura, ,,Enchant creature you control, ,,,57,Anthony S. Waters,0.24,0.14,0.5,0.34,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=29303&type=card
945,Bog Gnarr,Apocalypse,"
Common",5,4,Green,Creature , Beast,2,2,"Whenever a player casts a black spell, Bog Gnarr gets +2/+2 until end of turn.", ,Not all of Dominaria's defenders were nourished by the light.,,76,Daren Bader,0.2,0.08,0.34,0.34,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=27153&type=card
948,Captain's Maneuver,Apocalypse,"
Uncommon",2,0,"Variable Colorless, Red, White",Instant,, ,,"The next X damage that would be dealt to target creature, planeswalker, or player this turn is dealt to another target creature, planeswalker, or player instead.", ,Sisay discovered that the mirrored hull of the Weatherlight could be used as a defensive weapon.,,92,Ben Thompson,0.25,0.17,1.67,1.75,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=25828&type=card
952,Ceta Disciple,Apocalypse,"
Common",1,0,Blue,Creature , Merfolk Wizard,1,1,", : Target creature gets +2/+0 until end of turn.", ,"""The sea holds all that you need. You simply must know how to ask for it.""",,19,Greg & Tim Hildebrandt,0.24,0.05,0.49,0.46,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=25853&type=card
953,Ceta Sanctuary,Apocalypse,"
Uncommon",3,2,Blue,Enchantment,, ,,"At the beginning of your upkeep, if you control a red or green permanent, draw a card, then discard a card. If you control a red permanent and a green permanent, instead draw two cards, then discard a card.", ,,,20,Franz Vohwinkel,0.25,0.2,10,6.48,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=27173&type=card
954,Cetavolver,Apocalypse,"
Rare",2,1,Blue,Creature , Volver,1,1,Kicker and/or (You may pay an additional and/or as you cast this spell.), ,,,21,Gary Ruddell,0.36,0.23,8.46,2.9,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=25948&type=card
956,Coalition Flag,Apocalypse,"
Uncommon",1,0,White,Enchantment , Aura, ,,Enchant creature you control, ,,,2,Darrell Riche,0.24,0.15,0.52,0.48,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26791&type=card
958,Coastal Drake,Apocalypse,"
Common",3,2,Blue,Creature , Drake,2,1,Flying, ,"When the kavu emerged from their ancient nests, food chains long dormant became vibrant again.",,22,John Gallagher,0.2,0.09,0.36,0.32,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=28754&type=card
960,Cromat,Apocalypse,"
Rare",5,0,"White, Blue, Black, Red, Green",Legendary Creature , Illusion,5,5,: Destroy target creature blocking or blocked by Cromat., ,,,94,Donato Giancola,2.33,3.14,149.99,99.34,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=28670&type=card
962,Dead Ringers,Apocalypse,"
Common",5,4,Black,Sorcery,, ,,Destroy two target nonblack creatures unless either one is a color the other isn't. They can't be regenerated., ,"""Beautiful, isn't it?"" crowed Crovax. ""They fought together. Now they will die together.""",,37,Greg Staples,0.21,0.06,0.44,0.26,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26848&type=card
966,Death Mutation,Apocalypse,"
Uncommon",8,6,"Black, Green",Sorcery,, ,,"Destroy target nonblack creature. It can't be regenerated. Create X 1/1 green Saproling creature tokens, where X is that creature's mana value.", ,,,96,Carl Critchlow,0.29,0.27,3.65,5.28,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=25833&type=card
967,Dega Disciple,Apocalypse,"
Common",1,0,White,Creature , Human Wizard,1,1,", : Target creature gets -2/-0 until end of turn.", ,"""There is no true equity of power. There is only more and less.""",,4,Alan Pollack,0.2,0.07,0.4,0.37,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=25852&type=card
968,Dega Sanctuary,Apocalypse,"
Uncommon",3,2,White,Enchantment,, ,,"At the beginning of your upkeep, if you control a black or red permanent, you gain 2 life. If you control a black permanent and a red permanent, you gain 4 life instead.", ,,,5,Ben Thompson,0.25,0.16,13.63,0.49,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=27178&type=card
969,Degavolver,Apocalypse,"
Rare",2,1,White,Creature , Volver,1,1,Kicker and/or (You may pay an additional and/or as you cast this spell.), ,,,6,Ron Spencer,0.4,0.25,60,1.52,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=25947&type=card
970,Desolation Angel,Apocalypse,"
Rare",5,3,"Black, Black",Creature , Angel,5,4,Kicker (You may pay an additional as you cast this spell.), ,,,38,Brom,1.19,1.19,63.5,59.97,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26259&type=card
973,Diversionary Tactics,Apocalypse,"
Uncommon",4,3,White,Enchantment,, ,,Tap two untapped creatures you control: Tap target creature., ,"""It's the oldest trick in the book,"" said Guff. ""And I ought to know—I wrote it.""",,7,Jerry Tiritilli,0.25,0.17,0.78,0.65,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=28810&type=card
974,Divine Light,Apocalypse,"
Common",1,0,White,Sorcery,, ,,Prevent all damage that would be dealt this turn to creatures you control., ,"""Phyrexia is an unforgiving place, and I am an angry lord in an unforgiving mood.""",,8,Christopher Moeller,0.21,0.12,0.35,0.26,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=27137&type=card
975,Dodecapod,Apocalypse,"
Uncommon",4,4,none,Artifact Creature , Golem,3,3,"If a spell or ability an opponent controls causes you to discard Dodecapod, put it onto the battlefield with two +1/+1 counters on it instead of putting it into your graveyard.", ,,,134,John Howe,0.25,0.1,0.75,0.63,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26733&type=card
976,Dragon Arch,Apocalypse,"
Uncommon",5,5,none,Artifact,, ,,", : You may put a multicolored creature card from your hand onto the battlefield.", ,"In their hunger for the arch's power, mages often forget that it only makes dragons easier to summon. It doesn't make them easier to control.",,135,Dana Knutson,4.02,3.88,34.25,21.45,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26734&type=card
977,Dwarven Landslide,Apocalypse,"
Common",4,3,Red,Sorcery,, ,,"Kicker—, Sacrifice a land. (You may pay and sacrifice a land in addition to any other costs as you cast this spell.)", ,,,60,Tony Szczudlo,0.2,0.13,0.49,0.36,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26810&type=card
978,Dwarven Patrol,Apocalypse,"
Uncommon",3,2,Red,Creature , Dwarf,4,2,Dwarven Patrol doesn't untap during your untap step., ,Dwarves never worry about who watches their backs.,,61,Greg & Tim Hildebrandt,0.25,0.14,1.09,1.15,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26672&type=card
979,Ebony Treefolk,Apocalypse,"
Uncommon",3,1,"Black, Green",Creature , Treefolk,3,3,: Ebony Treefolk gets +1/+1 until end of turn., ,Its roots are equally happy to drink the water of a clear stream or the oily blood of a Phyrexian warrior.,,97,Matt Cavotta,0.25,0.2,0.84,0.87,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=29450&type=card
980,Emblazoned Golem,Apocalypse,"
Uncommon",2,2,none,Artifact Creature , Golem,1,2,Kicker (You may pay an additional as you cast this spell.), ,,,136,Greg Staples,0.25,0.12,0.5,0.45,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26264&type=card
981,Enlistment Officer,Apocalypse,"
Uncommon",4,3,White,Creature , Human Soldier,2,3,First strike, ,,,9,Wayne England,0.3,0.23,3.04,3.48,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=27657&type=card
983,False Dawn,Apocalypse,"
Rare",2,1,White,Sorcery,, ,,"Until end of turn, spells and abilities you control that would add colored mana instead add that much white mana. Until end of turn, you may spend white mana as though it were mana of any color.", ,,,10,Dave Dorman,0.47,0.37,8.99,8.66,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=27602&type=card
984,Fervent Charge,Apocalypse,"
Rare",4,1,"Red, White, Black",Enchantment,, ,,"Whenever a creature you control attacks, it gets +2/+2 until end of turn.", ,Crovax was nearly buried beneath the weight of his opponents.,,98,Mark Tedin,0.71,0.59,18.28,7.41,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=28011&type=card
986,Flowstone Charger,Apocalypse,"
Uncommon",4,2,"Red, White",Creature , Beast,2,5,"Whenever Flowstone Charger attacks, it gets +3/-3 until end of turn.", ,A mane of flowstone and a mien of fury.,,99,John Gallagher,0.24,0.14,0.44,0.25,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=19117&type=card
987,Foul Presence,Apocalypse,"
Uncommon",3,2,Black,Enchantment , Aura, ,,Enchant creature, ,"The Phyrexians have one word that means both ""evolution"" and ""pain.""",,39,Ray Lago,0.24,0.12,0.5,0.5,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=28805&type=card
988,Fungal Shambler,Apocalypse,"
Rare",7,4,"Black, Green, Blue",Creature , Fungus Beast,6,4,Trample, ,,,100,Jim Nelson,0.4,0.25,1.26,1.67,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26743&type=card
989,Gaea's Balance,Apocalypse,"
Uncommon",4,3,Green,Sorcery,, ,,"As an additional cost to cast this spell, sacrifice five lands.", ,,,77,Rebecca Guay,0.25,0.2,5.99,5.9,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=28668&type=card
990,Gaea's Skyfolk,Apocalypse,"
Common",2,0,"Green, Blue",Creature , Elf Merfolk,2,2,Flying, ,The grace of the forest and the spirit of the sea.,,101,Terese Nielsen,0.25,0.17,14.99,6.22,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26757&type=card
992,Gerrard's Verdict,Apocalypse,"
Uncommon",2,0,"White, Black",Sorcery,, ,,Target player discards two cards. You gain 3 life for each land card discarded this way., ,A heart of light and a soul of darkness cannot coexist.,,102,Carl Critchlow,0.39,0.35,28.5,11.53,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=29416&type=card
993,Glade Gnarr,Apocalypse,"
Common",6,5,Green,Creature , Beast,4,4,"Whenever a player casts a blue spell, Glade Gnarr gets +2/+2 until end of turn.", ,"Long thought merely a legend, the appearance of the gnarr was seen by the defenders as a sign of good luck.",,78,Daren Bader,0.2,0.07,0.35,0.3,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=27154&type=card
994,Goblin Legionnaire,Apocalypse,"
Common",2,0,"Red, White",Creature , Goblin Soldier,2,2,", Sacrifice Goblin Legionnaire: It deals 2 damage to any target.", ,,,103,Mark Romanoski,0.21,0.1,0.75,0.73,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26760&type=card
998,Grave Defiler,Apocalypse,"
Uncommon",4,3,Black,Creature , Zombie,2,1,"When Grave Defiler enters the battlefield, reveal the top four cards of your library. Put all Zombie cards revealed this way into your hand and the rest on the bottom of your library in any order.", ,,,40,Tony Szczudlo,0.25,0.17,2.35,2.49,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=27662&type=card
999,Guided Passage,Apocalypse,"
Rare",3,0,"Green, Blue, Red",Sorcery,, ,,"Reveal the cards in your library. An opponent chooses from among them a creature card, a land card, and a noncreature, nonland card. You put the chosen cards into your hand. Then shuffle.", ,,,105,Alex Horley-Orlandelli,1.51,1.28,215,26.51,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=27169&type=card
1000,Haunted Angel,Apocalypse,"
Uncommon",3,2,White,Creature , Angel,3,3,Flying, ,,,12,Arnie Swekel,0.25,0.15,2.36,2.99,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=25910&type=card
1001,Helionaut,Apocalypse,"
Common",3,2,White,Creature , Human Soldier,1,2,Flying, ,"Hope kept the defenders aloft, but only courage kept them in the fight.",,13,Franz Vohwinkel,0.2,0.1,0.4,0.37,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26854&type=card
1003,Ice Cave,Apocalypse,"
Rare",5,3,"Blue, Blue",Enchantment,, ,,"Whenever a player casts a spell, any other player may pay that spell's mana cost. If a player does, counter the spell. (Mana cost includes color.)", ,Even the oppresive cold of the cave could not temper Eladamri's ire.,,24,Jerry Tiritilli,0.57,0.45,15.99,9.11,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26451&type=card
1004,Illuminate,Apocalypse,"
Uncommon",1,0,"Variable Colorless, Red",Sorcery,, ,,Kicker and/or (You may pay an additional and/or as you cast this spell.), ,,,63,Christopher Moeller,0.25,0.18,1.03,0.53,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26447&type=card
1007,Jaded Response,Apocalypse,"
Common",2,1,Blue,Instant,, ,,Counter target spell if it shares a color with a creature you control., ,"""Calm down everyone; it's nothing we haven't seen before.""",,26,Matt Cavotta,0.22,0.11,0.54,0.63,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26673&type=card
1008,Jilt,Apocalypse,"
Common",2,1,Blue,Instant,, ,,Kicker (You may pay an additional as you cast this spell.), ,"""You're not my Hanna""",,27,Terese Nielsen,0.25,0.21,3.69,4.62,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26797&type=card
1010,Kavu Glider,Apocalypse,"
Common",3,2,Red,Creature , Kavu,2,1,: Kavu Glider gets +0/+1 until end of turn., ,,,64,Heather Hudson,0.21,0.12,0.38,0.28,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26809&type=card
1011,Kavu Howler,Apocalypse,"
Uncommon",6,4,"Green, Green",Creature , Kavu,4,5,"When Kavu Howler enters the battlefield, reveal the top four cards of your library. Put all Kavu cards revealed this way into your hand and the rest on the bottom of your library in any order.", ,,,79,Wayne England,0.25,0.17,0.58,0.48,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=28750&type=card
1012,Kavu Mauler,Apocalypse,"
Rare",6,4,"Green, Green",Creature , Kavu,4,4,Trample, ,"To the kavu, all Phyrexians are merely crunchy snacks.",,80,Daren Bader,0.37,0.27,49.99,1.57,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=27760&type=card
